Prelacion;Consejeria / Ent. Instrumental;Centro Directivo / Unidades Administrativas;Cod. Puesto;Puesto;C.D C.E.;vigencia_inicio;vigencia_fin;relacion_inicio;relacion_fin
45;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.310;ASESOR/A TECNICO/A;25;21/01/2022;;02/12/2022;
46;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.714.110;ASESOR/A TECNICO/A;26;01/01/2020;;30/07/2022;
47;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;101.720;TITULADO/A GRADO MEDIO;18;18/07/2020;;05/08/2020;
48;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.706.810;TITULADO/A GRADO MEDIO;18;16/04/2021;;22/05/2022;
49;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.401.910;UN. GESTION ADMINISTRATIVA;20;15/06/2021;;22/09/2021;
50;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;10.821.610;A.T.-CONTRATACION;25;18/11/2021;;05/01/2022;
51;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;3.945.820;TITULADO/A SUPERIOR;22;03/12/2022;;28/02/2023;
52;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.110;A.T.- RECURSOS HUMANOS;25;14/05/2022;;31/01/2023;
53;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.910;SC. PERSONAL;25;10/10/2022;16/09/2024;13/12/2022;25/01/2023
54;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.310;GBTE. FONDOS EUROPEOS;27;27/04/2021;;22/07/2021;
55;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.710;SV. PRESUPUESTOS Y GEST. ECONOMICA;28;21/09/2022;;21/04/2023;
56;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.886.310;SC. RACIONALIZACION CONTRATACION;25;16/04/2021;;24/04/2023;
57;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.408.810;A.T.- CONTRATACION;25;21/09/2022;;29/12/2022;
58;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.408.910;A.T.- CONTRATACION;25;13/12/2022;;17/04/2023;
59;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.910;SC. CONTRATACION;25;18/05/2021;;25/12/2022;
60;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.522.610;A.T.- RECURSOS HUMANOS;25;30/03/2022;;20/10/2022;
61;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;644.920;ASESOR/A TECNICO/A;25;19/10/2021;;05/12/2022;
62;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.015.620;ADMINISTRATIVO/A;15;10/03/2022;;11/02/2023;
63;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.776.610;SC. RECURSOS;25;22/10/2021;;12/03/2023;
64;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.409.010;A.T.- PROCEDIMIENTOS Y RECURSOS;25;09/07/2022;;31/01/2023;
65;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;645.020;ASESOR/A TECNICO/A;25;28/06/2020;;31/03/2023;04/03/2024
66;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;13.713.210;A.T.-LEGISLACION E  INFORMES;25;01/06/2020;;12/02/2023;
67;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.510;ASESOR/A TECNICO/A;25;01/11/2021;;19/04/2023;
68;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.408.710;DP. ADMINISTRACION GENERAL;25;23/12/2022;;27/12/2022;
69;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.385.210;ASESOR/A TECNICO/A;25;23/11/2022;;23/12/2022;
70;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.495.320;ASESOR/A TECNICO/A;25;05/04/2021;;04/01/2023;
71;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.495.420;ASESOR/A TECNICO/A;25;06/12/2022;;31/12/2022;
72;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.385.710;ASESOR/A TECNICO/A;25;21/09/2022;;13/05/2023;
73;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.522.810;ASESOR/A TECNICO/A;25;04/04/2022;;04/05/2023;
74;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.410.510;DP. LEGISLACION;25;22/09/2020;;30/12/2022;
75;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;13.212.510;ASESOR/A TECNICO/A;25;07/12/2022;;21/07/2023;29/12/2023
76;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.438.410;CONSEJERO/A TECNICO/A;28;12/06/2022;;25/03/2023;
77;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.777.410;A.T.- TRANSPARENCIA;25;18/01/2020;;07/04/2023;
78;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.446.610;A.T.- PREVENCION RIESGOS LABORALES;25;21/02/2021;;11/05/2023;
79;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.446.510;COORD. PREVENCION RIESGOS LABORALES;26;03/04/2022;;04/04/2023;
80;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.710;AYUDANTE ARCHIVO-ARCHIVO CENTRAL;22;28/11/2021;;13/10/2022;
81;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;8.761.110;TITULADO/A SUPERIOR;22;12/10/2020;;05/04/2022;
82;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;5.417.220;TITULADO/A SUPERIOR;22;13/10/2022;;14/06/2023;07/02/2025
83;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;5.417.320;TITULADO/A SUPERIOR;22;10/03/2020;;22/11/2022;
84;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;5.333.020;TITULADO/A SUPERIOR;22;26/05/2020;;16/03/2023;
85;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;428.410;TITULADO/A SUPERIOR;22;03/11/2022;;23/05/2023;
86;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;5.333.120;TITULADO/A SUPERIOR;22;06/02/2021;;08/07/2022;
87;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.020;ADMINISTRATIVO/A;15;31/08/2022;;24/03/2023;09/12/2025
88;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.081.620;ADMINISTRATIVO/A;15;06/11/2020;;17/08/2021;
89;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;600.120;ADMINISTRATIVO/A;15;17/09/2021;;28/08/2022;
90;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.420;AUXILIAR ADMINISTRATIVO/A;14;25/07/2020;;13/11/2021;
91;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.081.720;ADMINISTRATIVO/A;15;01/05/2022;;27/05/2022;
92;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.110;UN. GESTION ADMINISTRATIVA;20;05/02/2022;;03/11/2022;
93;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.435.310;ADMINISTRATIVO/A;15;26/09/2020;;25/04/2022;
94;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.610;DIRECTOR/A ARCHIVO CENTRAL;25;06/03/2021;;18/04/2022;
95;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;12.084.110;ADMINISTRATIVO/A;15;11/05/2021;;06/06/2021;
96;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.483.920;ADMINISTRATIVO/A;15;14/11/2022;;15/03/2023;
97;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;153.420;ADMINISTRATIVO/A;15;10/10/2021;;31/01/2022;
98;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.483.820;ADMINISTRATIVO/A;15;22/07/2020;;02/06/2021;
99;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.012.420;ADMINISTRATIVO/A;15;19/11/2022;;14/08/2023;
100;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;11.538.510;ADMINISTRATIVO/A;15;21/06/2020;;18/11/2021;
101;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;13.635.910;AUXILIAR ADMINISTRATIVO/A;14;08/01/2020;;29/09/2020;
102;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;6.871.610;AUXILIAR DE GESTION;16;13/01/2022;;15/11/2022;
103;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.522.710;NG. TRAMITACION;18;11/06/2020;;05/08/2021;
104;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.524.310;AUXILIAR ADMINISTRATIVO/A;14;21/11/2021;;04/03/2022;
105;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.320;AUXILIAR ADMINISTRATIVO/A;14;15/08/2020;;29/07/2021;
106;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.535.810;UN. GESTION;18;05/01/2022;;15/06/2022;31/01/2023
107;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.410;NG. NOMINAS;18;14/06/2022;;24/02/2023;
108;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.410.610;AUXILIAR DE GESTION- SECRETARIO/A;16;18/12/2022;;30/04/2023;
109;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.524.410;AUXILIAR ADMINISTRATIVO/A;14;24/06/2022;;06/09/2023;
110;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.468.420;UN. APOYO;18;02/12/2022;;04/02/2023;
111;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.524.510;AUXILIAR ADMINISTRATIVO/A;14;22/09/2022;;12/05/2023;
112;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.468.320;UN. APOYO;18;29/09/2022;;11/06/2023;
113;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.210;NG. TRAMITACION;18;11/09/2020;;28/04/2021;
114;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;9.395.410;UN. GESTION Y TRAMITACION;18;07/01/2021;;29/04/2021;
115;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.779.910;NG. INTERVENCION;18;31/01/2020;;13/02/2022;
116;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;13.192.710;AUXILIAR DE GESTION;16;28/11/2020;;09/11/2021;
117;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;8.259.610;NG. GESTION;18;01/02/2020;;18/01/2022;
118;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.502.210;CONSEJERO/A TECNICO/A;28;18/01/2022;;23/12/2022;
119;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;16.622.410;ASESOROA TOCNICA;26;07/08/2021;;03/01/2023;
120;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;20.304.410;ASESOROA TOCNICA;26;20/03/2021;;22/12/2022;
121;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.268.020;AUXILIAR DE GESTION;16;18/10/2021;;31/07/2022;
122;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.446.620;AUXILIAR DE GESTION;16;03/10/2021;;04/09/2022;
123;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;11.740.810;NG. GESTION;18;09/11/2022;;31/07/2023;
124;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.650.210;NG. TRAMITACION;18;21/08/2022;;29/10/2022;
125;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.510;NG. SEGUROS SOCIALES;18;28/06/2021;;13/11/2021;
126;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.010;NG. GESTION PERSONAL;18;11/01/2021;;03/04/2022;
127;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;6.868.810;NG. GESTION;18;03/05/2020;;23/09/2021;
128;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.044.610;NG. GESTION;18;17/11/2020;;18/08/2021;
129;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.598.710;UN. GESTION;18;18/08/2021;;08/08/2022;
130;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.446.720;AUXILIAR DE GESTION;16;07/12/2021;;13/12/2022;
131;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.710;NG. INFORMACION Y REGISTRO;18;14/01/2022;;31/01/2022;
132;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.468.220;UN. APOYO;18;23/08/2022;;29/04/2023;
133;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;8.155.210;NG. GESTION ADMINISTRATIVA;18;17/03/2020;;04/07/2021;
134;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.779.810;NG. INTERVENCION;18;06/05/2022;;03/08/2022;
135;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;15.126.510;NG. TRAMITACION;18;01/01/2020;;21/02/2022;
136;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.051.410;NG. GESTION ADMINISTRATIVA;18;20/11/2022;;06/02/2023;
137;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.510;SC. INTERVENCION;25;03/11/2020;;16/02/2022;
138;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.713.810;A.T.- INTERVENCION;25;19/12/2020;;05/05/2021;
139;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.713.910;A.T.- INTERVENCION;25;14/12/2022;;03/07/2023;
140;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.410;SC. INTERVENCION;25;03/10/2020;;14/05/2021;
141;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.820;ASESOR/A GESTION ECONOMICA ADMVA.;23;11/09/2020;;24/11/2020;
142;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.408.610;SC. GESTION ECONOMICA;25;02/05/2021;;18/11/2021;
143;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;9.307.910;A.T.-PRESUPUESTOS;25;30/11/2021;;01/10/2022;
144;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.920;ASESOR/A GESTION ECONOMICA ADMVA.;23;17/09/2020;;04/01/2022;
145;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.522.410;A.T.- PRESUPUESTO Y GESTION ECONOMICA;25;24/10/2021;;08/03/2022;
146;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.410;SC. HABILITACION;25;09/07/2020;;08/10/2021;
147;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.388.910;A.T.- PRESUPUESTO Y GESTION ECONOMICA;25;10/01/2020;;28/03/2021;
148;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.720;ASESOR/A GESTION ECONOMICA ADMVA.;23;26/01/2022;;12/12/2022;
149;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;3.100.310;DP. PRESUPUESTOS;25;17/10/2021;;26/10/2022;
150;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;8.258.210;A.T.-SIST. INF. ECONOM. FINANC. GASTOS;25;03/06/2021;;01/03/2022;
151;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;3.327.110;ASESOR/A TECNICO/A;25;08/12/2020;;04/07/2021;
152;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;11.941.310;UN. GESTION;22;21/05/2022;;21/10/2022;
153;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.010;UN. GESTION ADMINISTRATIVA;20;22/01/2020;;24/09/2022;
154;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;12.061.510;ADMINISTRATIVO/A;15;02/02/2020;;26/01/2021;
155;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.193.110;ESPECIALISTA DIGITAL;20;03/02/2021;;24/03/2021;
156;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.203.510;ESPECIALISTA DIGITAL;20;13/07/2022;;18/07/2022;
157;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.197.910;ESPECIALISTA DIGITAL;20;27/11/2022;;01/05/2023;
158;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;8.019.410;ESPECIALISTA DIGITAL;20;19/01/2022;;29/04/2022;
159;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.192.510;ESPECIALISTA DIGITAL;20;07/08/2021;;23/02/2022;
160;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.207.010;ESPECIALISTA DIGITAL;20;02/10/2020;;26/10/2020;
161;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.708.310;ESPECIALISTA DIGITAL;20;11/05/2020;;10/09/2021;
162;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.197.210;ESPECIALISTA DIGITAL;20;08/02/2022;;18/05/2022;
163;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.109.710;TITULADO/A GRADO MEDIO;0;14/06/2020;;18/10/2022;
164;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.736.310;TITULADO/A GRADO MEDIO;0;26/09/2021;;09/07/2022;
165;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.110.810;TITULADO/A GRADO MEDIO;0;31/08/2021;;24/04/2022;
166;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.440.610;DP. TECNICO;26;28/06/2022;;01/09/2022;
167;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.388.010;DP. TECNICO;26;11/05/2021;;02/03/2022;
168;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.470.320;AUXILIAR TIC;14;18/07/2021;;22/08/2022;
169;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.934.310;GESTION SERVICIOS TECNOLOGICOS;25;25/06/2022;;06/12/2022;
170;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;4.470.220;AUXILIAR TIC;14;12/03/2022;;02/01/2023;
171;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;14.357.210;ESPECIALISTA DIGITAL;22;01/08/2020;;25/03/2023;
172;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.702.010;ESPECIALISTA DIGITAL;20;04/01/2020;;13/10/2021;
