Prelacion;Consejeria / Ent. Instrumental;Centro Directivo / Unidades Administrativas;Cod. Puesto;Puesto;C.D C.E.;vigencia_inicio;vigencia_fin;relacion_inicio;relacion_fin
50;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;10.821.610;A.T.-CONTRATACION;25;16/03/2023;09/09/2024;14/07/2021;
51;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;3.945.820;TITULADO/A SUPERIOR;22;03/08/2022;16/03/2025;16/03/2023;
52;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.110;A.T.- RECURSOS HUMANOS;25;05/06/2022;;24/08/2023;
53;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.910;SC. PERSONAL;25;07/04/2023;10/06/2024;17/11/2025;05/12/2025
54;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.310;GBTE. FONDOS EUROPEOS;27;30/12/2021;10/01/2026;08/08/2025;
55;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.710;SV. PRESUPUESTOS Y GEST. ECONOMICA;28;20/10/2024;15/04/2025;12/09/2021;
56;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.886.310;SC. RACIONALIZACION CONTRATACION;25;01/01/2023;01/03/2023;21/08/2025;
57;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.408.810;A.T.- CONTRATACION;25;13/07/2020;;04/02/2025;
58;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.408.910;A.T.- CONTRATACION;25;09/09/2022;19/06/2024;21/09/2022;
59;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.910;SC. CONTRATACION;25;14/03/2024;13/01/2026;26/07/2021;23/10/2025
60;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.522.610;A.T.- RECURSOS HUMANOS;25;17/06/2025;;02/09/2024;
61;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;644.920;ASESOR/A TECNICO/A;25;30/11/2021;10/11/2022;09/03/2022;
62;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.015.620;ADMINISTRATIVO/A;15;09/01/2021;06/01/2024;15/09/2025;
63;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.776.610;SC. RECURSOS;25;16/04/2024;;26/05/2022;
64;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.409.010;A.T.- PROCEDIMIENTOS Y RECURSOS;25;05/11/2025;28/01/2026;02/07/2022;13/11/2025
65;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;645.020;ASESOR/A TECNICO/A;25;26/04/2024;;29/11/2020;
66;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;13.713.210;A.T.-LEGISLACION E  INFORMES;25;30/11/2022;;15/09/2022;
67;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.510;ASESOR/A TECNICO/A;25;16/02/2025;;28/07/2024;24/01/2026
68;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.408.710;DP. ADMINISTRACION GENERAL;25;04/02/2025;04/10/2025;16/01/2020;
69;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.385.210;ASESOR/A TECNICO/A;25;28/12/2023;23/10/2025;05/06/2020;
70;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.495.320;ASESOR/A TECNICO/A;25;28/02/2020;;01/12/2020;05/02/2022
71;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.495.420;ASESOR/A TECNICO/A;25;26/04/2023;14/10/2023;24/07/2020;
72;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.385.710;ASESOR/A TECNICO/A;25;01/03/2022;;26/02/2024;
73;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.522.810;ASESOR/A TECNICO/A;25;22/03/2020;13/11/2020;19/02/2021;
74;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.410.510;DP. LEGISLACION;25;24/09/2021;16/10/2023;25/11/2025;10/12/2025
75;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;13.212.510;ASESOR/A TECNICO/A;25;14/05/2024;19/04/2025;27/02/2023;
76;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.438.410;CONSEJERO/A TECNICO/A;28;27/03/2021;;09/04/2024;
77;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.777.410;A.T.- TRANSPARENCIA;25;07/07/2024;;09/11/2021;
78;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.446.610;A.T.- PREVENCION RIESGOS LABORALES;25;30/09/2025;04/10/2025;10/02/2024;
79;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.446.510;COORD. PREVENCION RIESGOS LABORALES;26;03/02/2024;11/01/2025;22/01/2022;
80;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.710;AYUDANTE ARCHIVO-ARCHIVO CENTRAL;22;26/09/2025;26/10/2025;30/04/2023;18/07/2023
81;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;8.761.110;TITULADO/A SUPERIOR;22;30/08/2023;;06/11/2024;
82;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;5.417.220;TITULADO/A SUPERIOR;22;21/05/2021;11/07/2022;11/11/2020;
83;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;5.417.320;TITULADO/A SUPERIOR;22;16/08/2024;19/02/2025;27/02/2023;
84;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;5.333.020;TITULADO/A SUPERIOR;22;07/03/2025;10/05/2025;06/09/2021;
85;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;428.410;TITULADO/A SUPERIOR;22;11/02/2026;;08/06/2022;
86;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;5.333.120;TITULADO/A SUPERIOR;22;04/11/2022;10/07/2025;28/01/2025;
87;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.020;ADMINISTRATIVO/A;15;18/04/2024;;14/03/2023;
88;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.081.620;ADMINISTRATIVO/A;15;18/03/2022;;04/03/2024;26/05/2025
89;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;600.120;ADMINISTRATIVO/A;15;04/11/2023;15/10/2025;26/09/2020;
90;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.420;AUXILIAR ADMINISTRATIVO/A;14;12/05/2021;;20/02/2023;24/03/2025
91;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.081.720;ADMINISTRATIVO/A;15;16/03/2021;19/03/2023;26/03/2025;
92;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.110;UN. GESTION ADMINISTRATIVA;20;12/03/2022;;19/02/2021;
93;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.435.310;ADMINISTRATIVO/A;15;22/03/2025;;05/06/2023;
94;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.610;DIRECTOR/A ARCHIVO CENTRAL;25;07/08/2023;21/02/2025;12/01/2020;28/09/2020
95;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;12.084.110;ADMINISTRATIVO/A;15;15/11/2023;14/03/2025;03/11/2022;
96;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.483.920;ADMINISTRATIVO/A;15;31/08/2021;;30/09/2025;
97;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;153.420;ADMINISTRATIVO/A;15;01/11/2020;13/07/2023;23/10/2023;
98;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.483.820;ADMINISTRATIVO/A;15;04/08/2023;21/01/2025;09/07/2020;01/09/2024
99;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.012.420;ADMINISTRATIVO/A;15;16/05/2025;;19/10/2022;
100;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;11.538.510;ADMINISTRATIVO/A;15;04/03/2024;13/08/2025;05/09/2024;
101;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;13.635.910;AUXILIAR ADMINISTRATIVO/A;14;21/01/2022;11/08/2022;07/09/2023;
102;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;6.871.610;AUXILIAR DE GESTION;16;29/12/2021;31/12/2023;25/11/2020;
103;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.522.710;NG. TRAMITACION;18;30/05/2021;;28/04/2023;
104;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.524.310;AUXILIAR ADMINISTRATIVO/A;14;30/03/2025;;06/11/2020;29/05/2025
105;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.320;AUXILIAR ADMINISTRATIVO/A;14;25/09/2024;20/10/2024;24/11/2023;05/03/2024
106;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.535.810;UN. GESTION;18;16/03/2023;;20/11/2025;
107;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.410;NG. NOMINAS;18;09/11/2025;29/12/2025;23/10/2021;
108;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.410.610;AUXILIAR DE GESTION- SECRETARIO/A;16;16/01/2021;23/02/2023;13/02/2020;
109;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.524.410;AUXILIAR ADMINISTRATIVO/A;14;23/02/2022;22/02/2024;13/05/2022;06/09/2022
110;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.468.420;UN. APOYO;18;26/03/2023;14/08/2025;16/03/2025;
111;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.524.510;AUXILIAR ADMINISTRATIVO/A;14;26/08/2020;30/11/2022;20/07/2021;
112;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.468.320;UN. APOYO;18;11/12/2023;17/03/2025;07/04/2025;
113;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.210;NG. TRAMITACION;18;28/03/2021;;07/07/2024;
114;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;9.395.410;UN. GESTION Y TRAMITACION;18;27/11/2022;;07/06/2025;05/12/2025
115;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.779.910;NG. INTERVENCION;18;12/03/2020;28/11/2024;19/12/2024;
116;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;13.192.710;AUXILIAR DE GESTION;16;21/01/2021;24/10/2021;28/01/2024;
117;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;8.259.610;NG. GESTION;18;17/05/2021;17/01/2023;18/11/2020;
118;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.502.210;CONSEJERO/A TECNICO/A;28;30/10/2025;;30/12/2021;13/01/2023
119;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;16.622.410;ASESOROA TOCNICA;26;18/09/2021;;21/11/2022;
120;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;20.304.410;ASESOROA TOCNICA;26;05/08/2020;24/09/2025;25/07/2024;
121;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.268.020;AUXILIAR DE GESTION;16;14/06/2021;;15/03/2023;
122;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.446.620;AUXILIAR DE GESTION;16;07/05/2024;24/11/2025;11/09/2025;
123;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;11.740.810;NG. GESTION;18;06/09/2024;;29/07/2022;
124;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.650.210;NG. TRAMITACION;18;17/01/2024;12/10/2024;18/09/2020;
125;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.510;NG. SEGUROS SOCIALES;18;25/07/2023;;01/07/2024;
126;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.384.010;NG. GESTION PERSONAL;18;07/08/2023;;21/02/2025;
127;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;6.868.810;NG. GESTION;18;29/12/2021;16/11/2022;29/07/2024;
128;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.044.610;NG. GESTION;18;13/02/2020;01/01/2023;18/11/2023;
129;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.598.710;UN. GESTION;18;14/01/2021;;13/05/2023;
130;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.446.720;AUXILIAR DE GESTION;16;24/06/2025;;13/02/2022;
131;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.775.710;NG. INFORMACION Y REGISTRO;18;17/05/2020;03/03/2022;08/05/2022;
132;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.468.220;UN. APOYO;18;13/12/2022;27/01/2024;28/04/2020;
133;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;8.155.210;NG. GESTION ADMINISTRATIVA;18;07/04/2022;;20/11/2023;30/11/2023
134;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.779.810;NG. INTERVENCION;18;16/04/2023;14/07/2023;09/06/2021;
135;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;15.126.510;NG. TRAMITACION;18;16/08/2020;19/06/2023;07/08/2023;
136;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;2.051.410;NG. GESTION ADMINISTRATIVA;18;03/12/2024;06/01/2025;17/03/2025;
137;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.510;SC. INTERVENCION;25;07/12/2020;09/11/2021;08/12/2023;
138;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.713.810;A.T.- INTERVENCION;25;16/02/2022;;01/01/2022;29/07/2024
139;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.713.910;A.T.- INTERVENCION;25;17/05/2023;08/02/2024;16/07/2024;
140;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.382.410;SC. INTERVENCION;25;10/07/2021;;24/04/2024;10/02/2026
141;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.820;ASESOR/A GESTION ECONOMICA ADMVA.;23;26/05/2021;;26/05/2022;03/06/2024
142;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.408.610;SC. GESTION ECONOMICA;25;27/07/2024;;19/09/2021;
143;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;9.307.910;A.T.-PRESUPUESTOS;25;21/09/2024;30/01/2025;05/06/2020;
144;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.920;ASESOR/A GESTION ECONOMICA ADMVA.;23;12/01/2020;05/11/2020;28/06/2020;
145;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.522.410;A.T.- PRESUPUESTO Y GESTION ECONOMICA;25;14/03/2021;;28/01/2024;
146;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.383.410;SC. HABILITACION;25;30/06/2022;;08/02/2022;29/02/2024
147;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.388.910;A.T.- PRESUPUESTO Y GESTION ECONOMICA;25;05/10/2020;19/08/2025;28/02/2023;
148;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;4.484.720;ASESOR/A GESTION ECONOMICA ADMVA.;23;31/05/2025;28/01/2026;20/11/2020;04/05/2021
149;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;3.100.310;DP. PRESUPUESTOS;25;18/04/2020;;11/10/2023;04/03/2025
150;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;8.258.210;A.T.-SIST. INF. ECONOM. FINANC. GASTOS;25;06/06/2024;;17/04/2021;
151;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;3.327.110;ASESOR/A TECNICO/A;25;07/06/2020;24/01/2024;25/03/2020;
152;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;11.941.310;UN. GESTION;22;27/01/2020;;02/10/2024;
153;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;14.402.010;UN. GESTION ADMINISTRATIVA;20;14/08/2024;;08/08/2022;
154;AGENCIA DIGITAL DE ANDALUCIA;SECRETARIA GENERAL;12.061.510;ADMINISTRATIVO/A;15;16/01/2023;27/05/2023;02/06/2025;
155;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.193.110;ESPECIALISTA DIGITAL;20;23/04/2023;06/02/2026;19/07/2025;04/10/2025
156;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.203.510;ESPECIALISTA DIGITAL;20;30/06/2020;;08/11/2024;
157;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.197.910;ESPECIALISTA DIGITAL;20;18/04/2020;;28/01/2021;05/06/2021
158;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;8.019.410;ESPECIALISTA DIGITAL;20;15/04/2021;;03/10/2023;
159;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.192.510;ESPECIALISTA DIGITAL;20;20/05/2022;;22/09/2023;
160;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.207.010;ESPECIALISTA DIGITAL;20;13/10/2023;;13/02/2022;
161;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.708.310;ESPECIALISTA DIGITAL;20;06/04/2023;14/04/2024;15/08/2020;
162;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;9.197.210;ESPECIALISTA DIGITAL;20;11/08/2025;09/01/2026;03/12/2024;
163;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.109.710;TITULADO/A GRADO MEDIO;0;24/11/2024;;03/07/2025;
164;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;6.736.310;TITULADO/A GRADO MEDIO;0;04/02/2021;06/01/2026;29/06/2024;15/12/2025
165;AGENCIA DIGITAL DE ANDALUCIA;DIRECCION GENERAL DE ESTRATEGIA DIGITAL;3.110.810;TITULADO/A GRADO MEDIO;0;03/01/2025;;21/03/2020;
